Severity,Site Name,Source System,Life Span (minutes),Alarm Name,Alarmed Object Name,Alarmed Object Type,Alarm Type,Specific Problem,Is Service Affecting,Previous Severity,Number Of Occurrences,is_active,Probable Cause Merged,First Time Detected Clean,hour,dayofweek,Next Alarm Timestamp,Next Alarm Unix,This Alarm Unix
0,2588,1,472081,51,77682,17,2,1246,0.0,4,326,0,94,2024-01-10 05:30:20,5,2,2024-04-27 02:03:38,1714183418,1704864620
0,2214,1,316761,49,69600,17,2,1181,0.0,4,221,0,94,2024-04-27 02:03:38,2,5,2024-04-27 02:04:12,1714183452,1714183418
0,2214,1,316738,44,69599,17,2,1135,0.0,4,221,0,94,2024-04-27 02:04:12,2,5,2024-04-27 02:04:38,1714183478,1714183452
0,2214,1,316760,44,69600,17,2,1093,0.0,4,221,0,94,2024-04-27 02:04:38,2,5,2024-07-03 21:51:55,1720043515,1714183478
0,25,1,218206,324,54465,24,0,669,0.0,2,2,0,58,2024-07-03 21:51:55,21,2,2024-09-02 05:30:01,1725255001,1720043515
0,2356,1,132258,43,73031,17,2,1028,0.0,4,92,0,26,2024-09-02 05:30:01,5,0,2024-09-02 05:30:40,1725255040,1725255001
0,2356,1,132257,49,73236,17,2,1181,0.0,4,92,0,94,2024-09-02 05:30:40,5,0,2024-09-02 05:31:40,1725255100,1725255040
0,2356,1,132256,44,73223,17,2,1093,0.0,4,92,0,94,2024-09-02 05:31:40,5,0,2024-09-03 01:01:01,1725325261,1725255100
0,2493,1,131309,52,50937,17,2,1248,0.0,4,92,0,33,2024-09-03 01:01:01,1,1,2024-09-05 05:30:40,1725514240,1725325261
0,2214,1,127891,49,69599,17,2,1222,0.0,4,89,0,94,2024-09-05 05:30:40,5,3,2024-09-15 05:32:30,1726378350,1725514240
0,2214,1,113454,18,69592,17,2,892,0.0,4,79,0,8,2024-09-15 05:32:30,5,6,2024-09-17 17:32:34,1726594354,1726378350
0,2588,1,109919,39,77678,17,2,942,0.0,4,66,0,21,2024-09-17 17:32:34,17,1,2024-09-17 17:32:36,1726594356,1726594354
0,2588,1,109919,39,77679,17,2,942,0.0,4,76,0,21,2024-09-17 17:32:36,17,1,2024-09-17 17:32:51,1726594371,1726594356
0,2588,1,109919,39,77681,17,2,942,0.0,4,74,0,21,2024-09-17 17:32:51,17,1,2024-09-18 01:15:01,1726622101,1726594371
0,591,1,109695,52,61760,17,2,1248,0.0,4,77,0,33,2024-09-18 01:15:01,1,2,2024-09-26 13:56:05,1727358965,1726622101
0,2913,1,97414,39,87475,17,2,942,0.0,4,68,0,21,2024-09-26 13:56:05,13,3,2024-09-27 05:32:30,1727415150,1727358965
0,2253,1,96174,20,70754,17,2,894,0.0,4,67,0,10,2024-09-27 05:32:30,5,4,2024-10-02 01:46:32,1727833592,1727415150
0,247,1,89503,52,57120,17,2,1248,0.0,4,63,0,33,2024-10-02 01:46:32,1,2,2024-10-03 05:30:19,1727933419,1727833592
0,402,1,87840,52,60391,17,2,1248,0.0,4,61,0,33,2024-10-03 05:30:19,5,3,2024-10-04 23:13:55,1728083635,1727933419
0,245,1,84196,324,91096,24,0,669,0.0,2,3,0,58,2024-10-04 23:13:55,23,4,2024-10-05 01:21:12,1728091272,1728083635
0,1446,1,85209,54,47568,17,2,1287,0.0,4,60,0,36,2024-10-05 01:21:12,1,5,2024-10-05 03:25:23,1728098723,1728091272
0,569,1,85085,52,61584,17,2,1248,0.0,4,60,0,33,2024-10-05 03:25:23,3,5,2024-10-08 05:30:19,1728365419,1728098723
0,40,1,80640,55,87754,17,2,1298,0.0,4,56,0,94,2024-10-08 05:30:19,5,1,2024-10-10 08:05:59,1728547559,1728365419
0,1224,1,77604,29,47354,17,2,925,0.0,4,54,0,18,2024-10-10 08:05:59,8,3,2024-10-10 16:01:47,1728576107,1728547559
0,2726,1,77128,41,45911,17,2,960,0.0,4,54,0,23,2024-10-10 16:01:47,16,3,2024-10-11 03:01:40,1728615700,1728576107
0,2356,1,76246,49,73240,17,2,1181,0.0,4,55,0,94,2024-10-11 03:01:40,3,4,2024-10-11 03:01:50,1728615710,1728615700
0,2356,1,76246,43,73037,17,2,1028,0.0,4,54,0,26,2024-10-11 03:01:50,3,4,2024-10-11 03:02:03,1728615723,1728615710
0,2356,1,76246,49,73247,17,2,1181,0.0,4,54,0,94,2024-10-11 03:02:03,3,4,2024-10-11 03:02:40,1728615760,1728615723
0,2356,1,76245,44,73240,17,2,1093,0.0,4,54,0,94,2024-10-11 03:02:40,3,4,2024-10-11 03:03:03,1728615783,1728615760
0,2356,1,76245,44,73247,17,2,1093,0.0,4,54,0,94,2024-10-11 03:03:03,3,4,2024-10-11 03:04:43,1728615883,1728615783
0,2356,1,76243,49,73242,17,2,1181,0.0,4,55,0,94,2024-10-11 03:04:43,3,4,2024-10-11 03:04:52,1728615892,1728615883
0,2356,1,76243,43,73040,17,2,1028,0.0,4,54,0,26,2024-10-11 03:04:52,3,4,2024-10-11 03:05:07,1728615907,1728615892
0,2356,1,76243,49,73248,17,2,1181,0.0,4,54,0,94,2024-10-11 03:05:07,3,4,2024-10-11 03:05:43,1728615943,1728615907
0,2356,1,76242,44,73242,17,2,1093,0.0,4,54,0,94,2024-10-11 03:05:43,3,4,2024-10-11 03:06:07,1728615967,1728615943
0,2356,1,76242,44,73248,17,2,1093,0.0,4,54,0,94,2024-10-11 03:06:07,3,4,2024-10-11 09:55:18,1728640518,1728615967
0,2749,1,76055,41,53050,17,2,960,0.0,4,53,0,23,2024-10-11 09:55:18,9,4,2024-10-11 09:55:20,1728640520,1728640518
0,2493,1,76055,41,50902,17,2,960,0.0,4,53,0,23,2024-10-11 09:55:20,9,4,2024-10-11 09:55:38,1728640538,1728640520
