Severity,Site Name,Source System,Life Span (minutes),Alarm Name,First Time Detected,Last Time Cleared,Alarmed Object Name,Last Time Detected,Alarmed Object Type,Alarmed Object Source System,Alarm Type,Probable Cause,Specific Problem,Is Service Affecting,Alarm ID,Previous Severity,Number Of Occurrences,Additional Text
cleared,P_64_A_043,fdn:realm:optics,4992,Unavailable Seconds,2024/11/29 05:30:14 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/STM64-1-1-7-10,STM64,NEND,RCV,1-DAY",2024/12/01 05:30:16 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-RS-1-DAY,Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491123787,warning,2,Unavailable Seconds:STM64-1-1-7-10:NULL:OC192_STS192_MS_STM64:NULL
cleared,P_64_A_043,fdn:realm:optics,6432,Unavailable Seconds,2024/11/28 05:30:14 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/STM64-1-1-7-6,STM64,NEND,RCV,1-DAY",2024/12/01 05:30:16 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-RS-1-DAY,Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491123785,warning,2,Unavailable Seconds:STM64-1-1-7-6:NULL:OC192_STS192_MS_STM64:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,Unavailable Seconds 1 DAY ,2024/11/29 05:30:14 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/OTUODU4TCT-1-1-33-1-6-BM,ODU4TCM,FEND,RCV,1-DAY",2024/12/01 05:30:13 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-TCM-1-DAY,Unavailable Seconds 1 DAY ,0.0,fdn:model:fm:HistoricalAlarm:491123753,warning,3,Unavailable Seconds 1 DAY :OCH-1-1-33-1:/odu4=1:ODU4:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,TCA 1 DAY Unavailable Seconds,2024/11/29 05:30:08 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/OTU-1-2-48-1,OTU4,FEND,RCV,1-DAY",2024/12/01 05:30:08 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-OTU-1-DAY,TCA 1 DAY Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491123652,warning,3,TCA 1 DAY Unavailable Seconds:OCH-1-2-48-1:/otu4=1:OTU4:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,TCA 1 DAY Unavailable Seconds,2024/11/29 05:30:14 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/OTU-1-1-14-1,OTU4,FEND,RCV,1-DAY",2024/12/01 05:30:12 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-OTU-1-DAY,TCA 1 DAY Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491123603,warning,2,TCA 1 DAY Unavailable Seconds:OCH-1-1-14-1:/otu4=1:OTU4:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,Unavailable Seconds,2024/11/29 05:30:14 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/STM16-1-1-5-10,STM16,NEND,RCV,1-DAY",2024/12/01 05:30:16 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-RS-1-DAY,Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491123598,warning,2,Unavailable Seconds:STM16-1-1-5-10:NULL:OC48_STS48_MS_STM16:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,Unavailable Seconds,2024/11/29 05:30:14 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/STM16-1-1-40-23,STM16,NEND,RCV,1-DAY",2024/12/01 05:30:16 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-RS-1-DAY,Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491123547,warning,2,Unavailable Seconds:STM16-1-1-40-23:NULL:OC48_STS48_MS_STM16:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,Unavailable Seconds,2024/11/29 05:30:14 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/STM16-1-1-40-24,STM16,NEND,RCV,1-DAY",2024/12/01 05:30:16 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-RS-1-DAY,Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491123508,warning,2,Unavailable Seconds:STM16-1-1-40-24:NULL:OC48_STS48_MS_STM16:NULL
cleared,P_64_A_043,fdn:realm:optics,9312,TCA 1 DAY Unavailable Seconds,2024/11/26 05:30:08 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/ODU4ODU0-1-2-72-1201-2,ODU0,NEND,TRMT,1-DAY",2024/12/01 05:30:08 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-ODU-1-DAY,TCA 1 DAY Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491123491,warning,2,TCA 1 DAY Unavailable Seconds:ODU4-1-2-72-1201:/odu0=2:ODU0:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,Unavailable Seconds,2024/11/29 05:30:14 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/STM16-1-1-36-17,STM16,NEND,RCV,1-DAY",2024/12/01 05:30:16 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-RS-1-DAY,Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491123479,warning,2,Unavailable Seconds:STM16-1-1-36-17:NULL:OC48_STS48_MS_STM16:NULL
